company,skills
Tata AIA Life Insurance,English Proficiency (Written)
Tata AIA Life Insurance,MS-Excel
Tata AIA Life Insurance,MS-Office
Tata AIA Life Insurance,MS-Word
Decathlon Sports India,English Proficiency (Spoken)
Decathlon Sports India,English Proficiency (Written)
Decathlon Sports India,MS-Excel
Policy Bazaar,English Proficiency (Spoken)
Policy Bazaar,English Proficiency (Written)
Policy Bazaar,MS-Excel
Policy Bazaar,MS-Office
Policy Bazaar,MS-Word
Sportskeeda,Blogging
Sportskeeda,Creative Writing
Sportskeeda,English Proficiency (Spoken)
Sportskeeda,English Proficiency (Written)
Tata AIA Life Insurance,
Fashion TV India,English Proficiency (Spoken)
Fashion TV India,English Proficiency (Written)
Fashion TV India,MS-Excel
Fashion TV India,MS-Office
Fashion TV India,MS-Word
Decathlon,
Confederation Of Indian Industry (CII),
Reliance Industries Limited,English Proficiency (Spoken)
Reliance Industries Limited,English Proficiency (Written)
Muthoot Fincorp Limited,Recruitment
Dr. A.P.J. Abdul Kalam Centre,Creative Writing
Dr. A.P.J. Abdul Kalam Centre,English Proficiency (Spoken)
Dr. A.P.J. Abdul Kalam Centre,English Proficiency (Written)
Times Internet,Email Marketing
Times Internet,English Proficiency (Spoken)
Times Internet,English Proficiency (Written)
WWF-India,Canva
WWF-India,English Proficiency (Spoken)
WWF-India,English Proficiency (Written)
WWF-India,MS-Excel
WWF-India,MS-PowerPoint
WWF-India,MS-Word
Monster India,Content Writing
Monster India,Creative Writing
Monster India,English Proficiency (Spoken)
Monster India,English Proficiency (Written)
Monster India,MS-Excel
Monster India,MS-Office
Times Internet,
UpGrad (UpGrad Education Private Limited),English Proficiency (Spoken)
UpGrad (UpGrad Education Private Limited),MS-Excel
Decathlon Sports India,Digital Marketing
Decathlon Sports India,Social Media Marketing
NIIT Foundation,English Proficiency (Spoken)
NIIT Foundation,MS-Excel
NIIT Foundation,MS-Word
Saregama India Limited,English Proficiency (Spoken)
Saregama India Limited,English Proficiency (Written)
Saregama India Limited,Social Media Marketing
Economic Times Edge,Blogging
Economic Times Edge,Content Writing
Economic Times Edge,Copywriting
Teach For India,MS-Office
Teach For India,Research and Analytics
Monster India,Content Writing
Monster India,Email Marketing
Monster India,English Proficiency (Spoken)
Monster India,English Proficiency (Written)
Monster India,MS-Excel
BYJU'S The Learning App,
Decathlon Sports India,MS-Excel
Decathlon Sports India,MS-PowerPoint
Godrej And Boyce Mfg. Company Limited,English Proficiency (Spoken)
Godrej And Boyce Mfg. Company Limited,English Proficiency (Written)
Godrej And Boyce Mfg. Company Limited,MS-Excel
Godrej And Boyce Mfg. Company Limited,MS-Office
Godrej And Boyce Mfg. Company Limited,MS-Word
Times Internet Limited,English Proficiency (Spoken)
Times Internet Limited,Event Management
Times Internet Limited,MS-Excel
Times Internet Limited,MS-Office
IIT Bombay,Adobe Premiere Pro
IIT Bombay,Video Editing
Times Internet,English Proficiency (Written)
IIT Bombay,English Proficiency (Spoken)
IIT Bombay,English Proficiency (Written)
IIT Bombay,Hindi Proficiency (Spoken)
IIT Bombay,Hindi Proficiency (Written)
BookMyShow,Event Management
BookMyShow,MS-Office
CTD Solutions Private Limited,Adobe Illustrator
CTD Solutions Private Limited,Adobe Photoshop
CTD Solutions Private Limited,Content Marketing
CTD Solutions Private Limited,Digital Marketing
CTD Solutions Private Limited,Email Marketing
CTD Solutions Private Limited,English Proficiency (Written)
CTD Solutions Private Limited,Facebook Marketing
CTD Solutions Private Limited,Image Processing
CTD Solutions Private Limited,Instagram Marketing
CTD Solutions Private Limited,MS-Excel
