company,perks
Saregama India Limited,5 days a week
Economic Times Edge,Certificate
Economic Times Edge,Informal dress code
Economic Times Edge,5 days a week
Teach For India,Certificate
Teach For India,Letter of recommendation
Teach For India,Flexible work hours
Monster India,Certificate
Monster India,5 days a week
BYJU'S The Learning App,
Decathlon Sports India,Certificate
Decathlon Sports India,Letter of recommendation
Godrej And Boyce Mfg. Company Limited,Certificate
Godrej And Boyce Mfg. Company Limited,5 days a week
Times Internet Limited,Certificate
Times Internet Limited,Informal dress code
Times Internet Limited,5 days a week
IIT Bombay,Certificate
IIT Bombay,Letter of recommendation
IIT Bombay,Flexible work hours
IIT Bombay,5 days a week
Times Internet,
IIT Bombay,Certificate
IIT Bombay,Letter of recommendation
IIT Bombay,Flexible work hours
IIT Bombay,5 days a week
BookMyShow,Certificate
BookMyShow,Informal dress code
BookMyShow,5 days a week
CTD Solutions Private Limited,Certificate
CTD Solutions Private Limited,Letter of recommendation
CTD Solutions Private Limited,Flexible work hours
Across The Globe (ATG),Certificate
Across The Globe (ATG),Flexible work hours
NbliK,Certificate
NbliK,Letter of recommendation
NbliK,Flexible work hours
Rusk Media,
Alphanumeric Ideas Private Limited,Certificate
Alphanumeric Ideas Private Limited,Letter of recommendation
Alphanumeric Ideas Private Limited,Flexible work hours
Alphanumeric Ideas Private Limited,5 days a week
Evobi Automation Private Limited (Bibox Labs),Certificate
Evobi Automation Private Limited (Bibox Labs),Letter of recommendation
Tring,Letter of recommendation
Tring,Flexible work hours
Tring,Informal dress code
RAISE INDIA FOUNDATION,Certificate
RAISE INDIA FOUNDATION,Letter of recommendation
RAISE INDIA FOUNDATION,Flexible work hours
RAISE INDIA FOUNDATION,Informal dress code
RAISE INDIA FOUNDATION,5 days a week
RAISE INDIA FOUNDATION,Job offer
Across The Globe (ATG),Certificate
Across The Globe (ATG),Flexible work hours
Across The Globe (ATG),Certificate
Across The Globe (ATG),Flexible work hours
CloudBird Digital Private Limited,Certificate
CloudBird Digital Private Limited,Letter of recommendation
AONE SEO Service,Informal dress code
AONE SEO Service,5 days a week
AONE SEO Service,Job offer
Tring,Letter of recommendation
Tring,Flexible work hours
Tring,Informal dress code
Tring,5 days a week
GMAT30 (KJ Online Private Limited),Certificate
GMAT30 (KJ Online Private Limited),Letter of recommendation
Alphanumeric Ideas Private Limited,Certificate
Alphanumeric Ideas Private Limited,Letter of recommendation
Alphanumeric Ideas Private Limited,Job offer
Gloify,Certificate
Gloify,Letter of recommendation
Gloify,Informal dress code
Gloify,5 days a week
Gloify,Certificate
Gloify,Letter of recommendation
Gloify,Informal dress code
Gloify,5 days a week
Gloify,Certificate
Gloify,Letter of recommendation
Gloify,Informal dress code
Gloify,5 days a week
TrakAff,Certificate
TrakAff,Letter of recommendation
TrakAff,Informal dress code
TrakAff,Free snacks & beverages
TrakAff,Job offer
Gloify,Certificate
Gloify,Letter of recommendation
Gloify,Informal dress code
Gloify,5 days a week
Arcot Group (Arcot Media Private Limited),Certificate
Gloify,Certificate
Gloify,Letter of recommendation
Gloify,Informal dress code
Gloify,5 days a week
Evelyn Learning Systems,Certificate
Evelyn Learning Systems,5 days a week
InfyBytes AI Labs Private Limited,Certificate
InfyBytes AI Labs Private Limited,Flexible work hours
Special Situation Advisors India Private Limited,Certificate
Special Situation Advisors India Private Limited,5 days a week
Special Situation Advisors India Private Limited,Job offer
Yuva Home Tutors,Certificate
Yuva Home Tutors,Letter of recommendation
Yuva Home Tutors,Flexible work hours
Yuva Home Tutors,Job offer
Beyul Private Limited,Certificate
Beyul Private Limited,Letter of recommendation
Beyul Private Limited,Flexible work hours
Beyul Private Limited,5 days a week
Yellow Tent,Certificate
Yellow Tent,Letter of recommendation
Yellow Tent,Flexible work hours
Yellow Tent,Informal dress code
Yellow Tent,5 days a week
Yellow Tent,Job offer
Everstylish Lifestyle Private Limited,Certificate
Everstylish Lifestyle Private Limited,Letter of recommendation
Everstylish Lifestyle Private Limited,Job offer
Everstylish Lifestyle Private Limited,Certificate
Everstylish Lifestyle Private Limited,Letter of recommendation
Everstylish Lifestyle Private Limited,Certificate
Everstylish Lifestyle Private Limited,Letter of recommendation
Digital Ipsum,Certificate
Digital Ipsum,Letter of recommendation
Nitashh Marketing,
Nitashh Marketing,
Nitashh Marketing,
Nitashh Marketing,
Unotech Global Solutions Private Limited,Certificate
Unotech Global Solutions Private Limited,Letter of recommendation
Unotech Global Solutions Private Limited,5 days a week
Nitashh Marketing,
Rancike Learning,Certificate
Rancike Learning,Letter of recommendation
Rancike Learning,Flexible work hours
Alpha Think (Study Abroad),Certificate
Alpha Think (Study Abroad),Flexible work hours
Blackcoffer,Certificate
Blackcoffer,Letter of recommendation
Blackcoffer,Flexible work hours
Blackcoffer,Certificate
Blackcoffer,Letter of recommendation
Blackcoffer,Flexible work hours
Blackcoffer,Job offer
Nexus Exhibitions Private Limited,Informal dress code
SLV Housing Development Corporation,Certificate
SLV Housing Development Corporation,Letter of recommendation
SLV Housing Development Corporation,Job offer
4Syz Infotech Solutions Private Limited,Job offer
Assist 2 Path Tech,Certificate
